		Jaccard	Semantic	event
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-loss
HOG:0002813	HOG:0002813	1.0	406.85006704469754	3123-gain-presence
HOG:0002813	HOG:0002855	1.0	149.1071052063028	3123-gain-presence
HOG:0002813	HOG:0003084	1.0	120.14849837939002	3123-gain-presence
HOG:0002813	HOG:0003123	1.0	131.46246286273487	3123-gain-presence
HOG:0002813	HOG:0003166	1.0	231.6331668422012	3123-gain-presence
HOG:0002813	HOG:0003270	1.0	102.47732603691476	3123-gain-presence
HOG:0002813	HOG:0003274	1.0	16.079006621297225	3123-gain-presence
HOG:0002813	HOG:0003279	1.0	102.47732603691476	3123-gain-presence
HOG:0002813	HOG:0003441	1.0	108.52874097360676	3123-gain-presence
HOG:0002813	HOG:0003515	1.0	20.808444260147425	3123-gain-presence
HOG:0002855	HOG:0002813	1.0	289.61220372765854	3123-gain-presence
HOG:0002855	HOG:0002855	1.0	276.2849391444711	3123-gain-presence
HOG:0002855	HOG:0003084	1.0	88.22206244703926	3123-gain-presence
HOG:0002855	HOG:0003123	1.0	125.27666024917666	3123-gain-presence
HOG:0002855	HOG:0003166	1.0	286.91063457513377	3123-gain-presence
HOG:0002855	HOG:0003270	1.0	102.47732603691476	3123-gain-presence
HOG:0002855	HOG:0003274	1.0	15.908896506843146	3123-gain-presence
HOG:0002855	HOG:0003279	1.0	102.47732603691476	3123-gain-presence
HOG:0002855	HOG:0003441	1.0	88.22206244703926	3123-gain-presence
HOG:0002855	HOG:0003515	1.0	18.747741068249663	3123-gain-presence
HOG:0003084	HOG:0002813	1.0	211.88611921738766	3123-gain-presence
HOG:0003084	HOG:0002855	1.0	88.22206244703926	3123-gain-presence
HOG:0003084	HOG:0003084	1.0	248.49637875239205	3123-gain-presence
HOG:0003084	HOG:0003123	1.0	121.55033996725604	3123-gain-presence
HOG:0003084	HOG:0003166	1.0	203.63530820445848	3123-gain-presence
HOG:0003084	HOG:0003270	1.0	102.47732603691476	3123-gain-presence
HOG:0003084	HOG:0003274	1.0	20.37764340593595	3123-gain-presence
HOG:0003084	HOG:0003279	1.0	102.47732603691476	3123-gain-presence
HOG:0003084	HOG:0003441	1.0	97.12969835136093	3123-gain-presence
HOG:0003084	HOG:0003515	1.0	17.51519150598312	3123-gain-presence
HOG:0003123	HOG:0002813	1.0	204.2340882701383	3123-gain-presence
